ST_CODE,State name,Month,Year,PC Number,PC name,PC Type,Candidate Name,Candidate Sex,Candidate Category,Candidate Age,Party Abbreviation,Total Votes Polled,Position
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,GODAM NAGESH,M,ST,49,TRS,430847,1
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,NARESH,M,ST,37,INC,259557,2
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,RAMESH RATHOD,M,ST,48,TDP,184198,3
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,RATHOD SADASHIV,M,ST,55,BSP,94420,4
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,NETHAWATH RAMDAS,M,ST,44,IND,41032,5
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,None of the Above,NULL,NULL,NULL,NOTA,17084,6
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,MOSALI CHINNAIAH,M,ST,40,IND,8859,7
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,PAWAR KRISHNA,M,ST,33,IND,5055,8
S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,BANKA SAHADEV,M,ST,53,IND,4787,9
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,BALKA SUMAN,M,SC,31,TRS,565496,1
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,G. VIVEKANAND,M,SC,56,INC,274338,2
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,DR.JANAPATI SARAT BABU,M,SC,42,TDP,63334,3
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,VELTHURU MALLAIAH,M,SC,57,RP(K),45977,4
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,TAGARAM SHANKAR LAL,M,SC,37,BSP,9449,5
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,KALVALA SHANKAR,M,SC,44,PPOI,9290,6
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,JINNA RAMADEVI,F,SC,37,IND,9199,7
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,KALVALA SANJEEV,M,SC,37,RPI,8609,8
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,BUPELLI NARAYANA,M,SC,30,IND,7258,9
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,None of the Above,NULL,NULL,NULL,NOTA,5361,10
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,VENKATA SWAMY INJAM,M,SC,42,MaSP,3866,11
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,THALLAPALLI SRINIVAS,M,SC,35,IND,3699,12
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,GADDALA VINAY KUMAR,M,SC,65,IND,3266,13
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,J.V. RAJU,M,SC,50,NIP,3020,14
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,KAMILLA JAYA RAO,M,SC,43,IND,2742,15
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,MOUTAM RAVINDER,M,SC,33,IND,2674,16
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,GORRE RAMESH,M,SC,43,IND,2361,17
S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,BOTHA VENKATA MALLAIAH,M,SC,58,BCUF,2245,18
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,VINOD KUMAR BOINAPALLY,M,GEN,54,TRS,505358,1
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,PONNAM PRABHAKAR,M,GEN,47,INC,300706,2
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,CHENNAMANENI VIDYA SAGAR RAO,M,GEN,73,BJP,214828,3
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,SHAIK MAHMOOD,M,GEN,58,WPOI,39308,4
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,B. LAXMAN,M,SC,53,BSP,11328,5
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,REDDI MALLA SRINIVAS,M,SC,46,RPI(A),8034,6
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,MOHAMMED AMJAD MOHIUDDIN,M,GEN,45,IND,6713,7
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,None of the Above,NULL,NULL,NULL,NOTA,5734,8
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,BURLA. RAVI,M,GEN,42,NCP,4769,9
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,KANDEM PRABHAKAR,M,GEN,45,IND,4728,10
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,L. PRABHAKAR REDDY,M,GEN,48,PPOI,3943,11
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,SRINIVAS REDDY LINGAMPALLY,M,GEN,41,IND,3851,12
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,DR.DHARMAIAH VENDAVETLA,M,SC,61,BMUP,3772,13
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,MEESALA RAJI REDDY,M,GEN,44,YSRCP,3075,14
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,MALLESH YADAV BARLA,M,GEN,26,IND,2757,15
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,UPPULETI.LAXMAN,M,SC,49,IND,2445,16
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,RANAVENI LAKSHMAN,M,GEN,41,NIP,2062,17
S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,PULIKOTA RAMESH,M,SC,34,IND,1773,18
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,KALVAKUNTLA KAVITHA,F,GEN,36,TRS,439307,1
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,MADHU YASKHI GOUD,M,GEN,56,INC,272123,2
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,ENDALA LAKSHMINARAYANA,M,GEN,51,BJP,225333,3
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,MALIK MOHTASIM KHAN,M,GEN,47,WPOI,43814,4
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,BAGWAN B,M,ST,49,IND,8129,5
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,TALARI RAMULU,M,SC,46,BSP,7421,6
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,None of the Above,NULL,NULL,NULL,NOTA,7266,7
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,ABDUL GANI,M,GEN,39,BCUF,4791,8
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,KANDEM PRABHAKAR,M,GEN,45,IND,3990,9
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,BANJA VEERAPPA,M,GEN,53,PPOI,3651,10
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,SINGAREDDY RAVINDRA REDDY,M,GEN,46,YSRCP,3529,11
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,CHIRULINGADRULA VENKATESHAM,M,GEN,40,IND,3091,12
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,S. CHANDRAIAH,M,GEN,66,IND,2817,13
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,RAPELLY SRINIVAS,M,GEN,39,AAAP,2621,14
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,KOTAPATI NARSIMHAM NAIDU,M,GEN,56,IND,2462,15
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,SAGAR SUDDALA,M,SC,32,BMUP,1978,16
S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,ABDUL KAREEM KHAN (BABU),M,GEN,44,IND,1601,17
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,B.B. PATIL,M,GEN,58,TRS,508661,1
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,SURESH KUMAR SHETKAR,M,GEN,53,INC,364030,2
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,K.MADAN MOHAN RAO,M,GEN,44,TDP,157497,3
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,MARRI DURGESH,M,SC,30,RPI(A),18027,4
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,MAHMOOD MOHIUDDIN,M,GEN,44,YSRCP,12383,5
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,None of the Above,NULL,NULL,NULL,NOTA,11190,6
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,SYED FEROZUDDIN,M,GEN,46,BSP,8180,7
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,BENJAMIN RAJU,M,GEN,43,IND,4804,8
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,RAMA RAO,M,GEN,45,IND,4426,9
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,DR. SUNEEL KUMAR CHOWDHARY,M,GEN,53,AAAP,3285,10
S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,TANDALE AMBAJI RAO,M,GEN,45,IND,2323,11
S01,Andhra Pradesh,5,2014,6,Medak,GEN,KALVAKUNTLA CHANDRASEKHAR RAO,M,GEN,60,TRS,657492,1
S01,Andhra Pradesh,5,2014,6,Medak,GEN,DR.P. SHRAVAN KUMAR REDDY,M,GEN,39,INC,260463,2
S01,Andhra Pradesh,5,2014,6,Medak,GEN,CHAGANLA NARENDRA NATH,M,GEN,49,BJP,181804,3
S01,Andhra Pradesh,5,2014,6,Medak,GEN,KUNDETI. RAVI.,M,GEN,40,IND,33507,4
S01,Andhra Pradesh,5,2014,6,Medak,GEN,"PRABHUGOUD, PULLAIAHGARI",M,GEN,45,YSRCP,11752,5
S01,Andhra Pradesh,5,2014,6,Medak,GEN,None of the Above,NULL,NULL,NULL,NOTA,10696,6
S01,Andhra Pradesh,5,2014,6,Medak,GEN,KOMPELLI PRABHUDAS,M,SC,48,RPI(A),7599,7
S01,Andhra Pradesh,5,2014,6,Medak,GEN,Y. SHANKAR GOUD,M,GEN,50,BSP,6643,8
S01,Andhra Pradesh,5,2014,6,Medak,GEN,IQBAL ALI ZAFAR,M,GEN,59,MBT,5010,9
S01,Andhra Pradesh,5,2014,6,Medak,GEN,MEKA. SUBBA RAO,M,SC,37,IND,4441,10
S01,Andhra Pradesh,5,2014,6,Medak,GEN,BOMMA BALESHAM,M,GEN,62,PPOI,3297,11
S01,Andhra Pradesh,5,2014,6,Medak,GEN,GAJABINKAR BANSILAL,M,GEN,49,IND,3281,12
S01,Andhra Pradesh,5,2014,6,Medak,GEN,BALARAJU MITTAPALLY,M,GEN,43,IND,2973,13
S01,Andhra Pradesh,5,2014,6,Medak,GEN,GURJADA BHEERAIAH YADAV,M,GEN,47,IND,2053,14
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,CH.MALLA REDDY,M,GEN,56,TDP,523356,1
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,HANUMANTH RAO MYNAMPALLY,M,GEN,47,TRS,495190,2
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,SARVEY SATHYANARAYANA,M,GEN,60,INC,233530,3
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,DR.JAYAPRAKASH  NARAYAN .N,M,GEN,58,LSP,158248,4
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,V.DINESH REDDY,M,GEN,60,YSRCP,115221,5
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,DIVAKAR DHARANIKOTA SUDHAKAR,M,GEN,28,AIMIM,18544,6
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,PROF. K.NAGESHWAR,M,GEN,50,IND,13239,7
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,None of the Above,NULL,NULL,NULL,NOTA,8692,8
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,DR.N.V.SUDHA KIRAN,M,GEN,48,AAAP,8301,9
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,JAJULA BHASKAR,M,GEN,39,SHP,7953,10
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,KARUNAKAR.R,M,GEN,48,BSP,6133,11
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,D.BIKSHAPATHI,M,GEN,40,IND,5717,12
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,BANDI SUDHAKAR,M,GEN,39,JaSPa,4095,13
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,ANJANEYULU.E,M,GEN,28,IND,2677,14
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,KANTE SAYANNA,M,GEN,35,IND,2261,15
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,SURAKANTI VENKAT REDDY,M,GEN,50,PPOI,2049,16
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,DASARI BHARATH REDDY,M,GEN,28,IND,1693,17
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,KOYALKAR BHOJ RAJ,M,GEN,56,IND,1547,18
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,GAJABINKAR BANSILAL,M,GEN,47,IND,1416,19
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,MURARI.T.N,M,GEN,60,SHS,1390,20
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,PEESARI SATISH REDDY,M,GEN,32,IND,1325,21
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,M.NAGESWARA RAO,M,GEN,60,IND,1301,22
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,VATTIKUTI RAMARAO GOUD,M,GEN,28,IND,1032,23
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,M.T.VARUGHESE,M,GEN,50,IND,1026,24
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,RAHUL PANDIT,M,GEN,48,IND,899,25
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,PADURI SRINIVAS REDDY,M,GEN,39,TLP,802,26
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,B.VEERA HANUMANTHA REDDY,M,GEN,48,IND,775,27
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,SATHYANARAYANA YAADAV PEDDIBOYINA,M,GEN,40,BCBDP,596,28
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,SUTHARAPU PADMAIAH,M,GEN,60,APRSSP,529,29
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,POLISETTY KRISHNA RAO,M,GEN,28,IND,496,30
S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,POTTURI TULASI DAS,M,GEN,62,IND,411,31
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,BANDARU DATTATREYA,M,GEN,66,BJP,438271,1
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,M.ANJAN KUMAR YADAV,M,GEN,53,INC,183536,2
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,NARLA MOHAN RAO,M,GEN,47,AIMIM,145120,3
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,T.BHEEMSEN,M,GEN,65,TRS,143847,4
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,SYED SAJID ALI,M,GEN,44,YSRCP,45187,5
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,CHAYA RATAN MUSINIPALLY,F,SC,61,AAAP,11184,6
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,None of the Above,NULL,NULL,NULL,NOTA,6572,7
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,K. SRINIVASULU,M,GEN,42,JaSPa,3691,8
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,KHAJA KHALID ANWAR,M,GEN,47,BSP,2863,9
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,K.SAI KRISHNA MOHAN RAO,M,GEN,53,ICSP,2603,10
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,B.SUBRAMANYAM,M,GEN,60,IND,2481,11
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,SONU SARSAL VALMIKI,M,SC,29,TECPI,2311,12
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,J.RAMULU,M,GEN,39,RSP,2058,13
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,B.DEEPAK KUMAR,M,SC,39,RPI(KH),1813,14
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,RAGHU DESHABOINA,M,GEN,45,BMUP,1496,15
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,AVULA RANGANAYAKULU,M,GEN,60,IND,1144,16
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,KHAJA SIRAJUDDIN AZAZ,M,GEN,49,mmsp,959,17
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,DR.N.S.UDAY KUMAR,M,GEN,53,pjdl,928,18
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,S. LAKSHMAN RAO,M,GEN,50,IND,886,19
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,DR.MALATHI LATHA EPPA,F,GEN,29,JAP,873,20
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,ABDUS SATTAR MUJAHED,M,GEN,48,ABML(S),809,21
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,MOHD IMTIAZ HUSSAIN,M,GEN,35,IUML,786,22
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,ANANTH RAO GUNDEPALLY,M,GEN,43,IND,779,23
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,SHAKTHI SATYAVATHI,F,ST,49,PPOI,638,24
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,CH. MURAHARI,M,GEN,55,SUCI,554,25
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,KUMAR CHOWDARY YADAV.G,M,GEN,55,sps,547,26
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,KARANKOTE NARENDER,M,GEN,52,AIFB,474,27
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,SYED MADANI QUADRI,M,GEN,53,IND,376,28
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,MOHAMMED RIZWAN HUSSAIN,M,GEN,32,IND,370,29
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,MOHD ABUBAKAR PARWAIZ SIDDIQUI,M,GEN,38,IND,322,30
S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,MICHAEL DANIEL OVELZ,M,GEN,41,IND,291,31
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,ASADUDDIN OWAISI,M,GEN,43,AIMIM,513868,1
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,DR.BHAGAVANTH RAO,M,GEN,61,BJP,311414,2
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,S KRISHNA REDDY,M,GEN,51,INC,49310,3
S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,RASHID SHAREEF,M,GEN,53,TRS,37195,4
