STATE CODE,STATE,PC NO,PARLIAMENTARY CONSTITUENCY,Total voters,Total_Electors,POLL PERCENTAGE
S01,Andhra Pradesh,1,Adilabad ,1055593,1386282,76.15
S01,Andhra Pradesh,2,Peddapalle ,1025194,1425355,71.93
S01,Andhra Pradesh,3,Karimnagar ,1127225,1550810,72.69
S01,Andhra Pradesh,4,Nizamabad,1034032,1496193,69.11
S01,Andhra Pradesh,5,Zahirabad,1099784,1445354,76.09
S01,Andhra Pradesh,6,Medak,1193548,1536166,77.7
S01,Andhra Pradesh,7,Malkajgiri,1624859,3183083,51.05
S01,Andhra Pradesh,8,Secundrabad,1004763,1893741,53.06
S01,Andhra Pradesh,9,Hyderabad,971770,1823217,53.3
S01,Andhra Pradesh,10,CHELVELLA,1322312,2185164,60.51
S01,Andhra Pradesh,11,Mahbubnagar,1015520,1418668,71.58
S01,Andhra Pradesh,12,Nagarkurnool,1116159,1477305,75.55
S01,Andhra Pradesh,13,Nalgonda,1191667,1494343,79.75
S01,Andhra Pradesh,14,Bhongir ,1212738,1492240,81.27
S01,Andhra Pradesh,15,Warangal,1176653,1537778,76.52
S01,Andhra Pradesh,16,Mahabubabad  ,1126618,1387288,81.21
S01,Andhra Pradesh,17,Khammam ,1188875,1440267,82.55
S01,Andhra Pradesh,18,Aruku ,913838,1272340,71.82
S01,Andhra Pradesh,19,Srikakulam,1054640,1413726,74.6
S01,Andhra Pradesh,20,Vizianagaram,1125615,1403736,80.19
S01,Andhra Pradesh,21,Visakhapatnam,1163582,1723011,67.53
S01,Andhra Pradesh,22,Anakapalli,1149326,1401474,82.01
S01,Andhra Pradesh,23,Kakinada,1101730,1418290,77.68
S01,Andhra Pradesh,24,Amalapuram ,1121986,1357865,82.63
S01,Andhra Pradesh,25,Rajahmundry,1156626,1421276,81.38
S01,Andhra Pradesh,26,Narsapuram,1089102,1325028,82.19
S01,Andhra Pradesh,27,Eluru ,1203236,1427764,84.27
S01,Andhra Pradesh,28,Machilipatnam ,1143048,1369311,83.48
S01,Andhra Pradesh,29,Vijayawada,1198985,1564513,76.64
S01,Andhra Pradesh,30,Guntur,1246775,1572017,79.31
S01,Andhra Pradesh,31,Narasaraopet,1282831,1514861,84.68
S01,Andhra Pradesh,32,Bapatla ,1186250,1392964,85.16
S01,Andhra Pradesh,33,Ongole ,1208904,1470212,82.23
S01,Andhra Pradesh,34,Nandyal,1209680,1576945,76.71
S01,Andhra Pradesh,35,Kurnool,1068070,1481791,72.08
S01,Andhra Pradesh,36,Anantapur,1212195,1536894,78.87
S01,Andhra Pradesh,37,Hindupur,1179270,1446496,81.53
S01,Andhra Pradesh,38,Kadapa,1201120,1550440,77.47
S01,Andhra Pradesh,39,Nellore,1188861,1606127,74.02
S01,Andhra Pradesh,40,Tirupati ,1214363,1574161,77.14
S01,Andhra Pradesh,41,Rajampet,1161241,1487791,78.05
S01,Andhra Pradesh,42,Chittoor ,1199137,1451851,82.59
S02,Arunachal Pradesh,1,ARUNACHAL WEST,337671,446640,75.6
S02,Arunachal Pradesh,2,ARUNACHAL EAST,263157,312704,84.16
